Step,A_Role-Conforming,A_Norm-Breaking,B_Role-Conforming,B_Norm-Breaking
1,305,195,237,263
2,297,203,260,240
3,292,208,264,236
4,279,221,235,265
5,273,227,276,224
6,253,247,261,239
7,266,234,244,256
8,251,249,260,240
9,248,252,249,251
10,257,243,244,256
11,257,243,258,242
12,250,250,230,270
13,252,248,231,269
14,255,245,253,247
15,251,249,255,245
16,221,279,255,245
17,253,247,229,271
18,255,245,270,230
19,259,241,224,276
20,231,269,251,249
21,259,241,252,248
22,255,245,258,242
23,260,240,253,247
24,251,249,246,254
25,250,250,246,254
26,247,253,258,242
27,223,277,257,243
28,232,268,236,264
29,270,230,251,249
30,262,238,245,255
31,255,245,266,234
32,253,247,257,243
33,262,238,247,253
34,274,226,241,259
35,240,260,251,249
36,247,253,249,251
37,256,244,258,242
38,259,241,237,263
39,248,252,259,241
40,248,252,252,248
41,231,269,247,253
42,264,236,240,260
43,260,240,250,250
44,247,253,256,244
45,267,233,234,266
46,260,240,261,239
47,246,254,265,235
48,232,268,262,238
49,235,265,245,255
50,256,244,259,241
51,235,265,226,274
52,256,244,262,238
53,238,262,238,262
54,248,252,252,248
55,254,246,232,268
56,239,261,259,241
57,248,252,259,241
58,265,235,257,243
59,245,255,255,245
60,256,244,239,261
61,233,267,249,251
62,268,232,247,253
63,256,244,242,258
64,250,250,248,252
65,261,239,254,246
66,232,268,274,226
67,265,235,262,238
68,240,260,240,260
69,245,255,240,260
70,238,262,248,252
71,248,252,259,241
72,254,246,259,241
73,271,229,256,244
74,260,240,250,250
75,224,276,243,257
76,263,237,275,225
77,238,262,241,259
78,261,239,239,261
79,221,279,242,258
80,242,258,246,254
81,243,257,229,271
82,241,259,258,242
83,246,254,250,250
84,255,245,269,231
85,264,236,271,229
86,271,229,255,245
87,254,246,254,246
88,258,242,239,261
89,269,231,251,249
90,265,235,247,253
91,249,251,246,254
92,244,256,247,253
93,252,248,252,248
94,236,264,228,272
95,251,249,247,253
96,270,230,249,251
97,255,245,235,265
98,255,245,258,242
99,263,237,254,246
100,235,265,257,243
101,237,263,259,241
102,243,257,247,253
103,249,251,253,247
104,239,261,236,264
105,255,245,242,258
106,260,240,250,250
107,233,267,236,264
108,253,247,239,261
109,263,237,231,269
110,218,282,245,255
111,253,247,251,249
112,259,241,247,253
113,265,235,247,253
114,252,248,240,260
115,255,245,245,255
116,253,247,240,260
117,253,247,263,237
118,258,242,263,237
119,242,258,236,264
120,219,281,234,266
121,262,238,252,248
122,252,248,237,263
123,253,247,247,253
124,243,257,255,245
125,244,256,235,265
126,266,234,235,265
127,237,263,239,261
128,242,258,234,266
129,234,266,257,243
130,259,241,264,236
131,254,246,260,240
132,265,235,251,249
133,244,256,242,258
134,256,244,256,244
135,252,248,255,245
136,249,251,243,257
137,252,248,239,261
138,263,237,239,261
139,265,235,243,257
140,255,245,246,254
141,262,238,238,262
142,254,246,246,254
143,235,265,240,260
144,237,263,241,259
145,225,275,248,252
146,261,239,258,242
147,246,254,240,260
148,248,252,237,263
149,247,253,249,251
150,258,242,260,240
151,252,248,241,259
152,232,268,252,248
153,253,247,263,237
154,261,239,244,256
155,240,260,260,240
156,239,261,255,245
157,247,253,264,236
158,249,251,249,251
159,233,267,258,242
160,257,243,250,250
161,252,248,241,259
162,254,246,277,223
163,248,252,252,248
164,253,247,255,245
165,229,271,268,232
166,246,254,247,253
167,232,268,240,260
168,252,248,255,245
169,249,251,253,247
170,243,257,255,245
171,257,243,243,257
172,241,259,255,245
173,233,267,269,231
174,247,253,261,239
175,239,261,242,258
176,256,244,273,227
177,253,247,240,260
178,251,249,245,255
179,255,245,246,254
180,278,222,250,250
181,256,244,258,242
182,268,232,250,250
183,256,244,269,231
184,253,247,261,239
185,236,264,247,253
186,252,248,251,249
187,241,259,253,247
188,262,238,245,255
189,241,259,254,246
190,266,234,240,260
191,246,254,240,260
192,238,262,238,262
193,258,242,263,237
194,232,268,254,246
195,246,254,240,260
196,258,242,233,267
197,250,250,251,249
198,252,248,239,261
199,243,257,239,261
200,228,272,246,254
201,239,261,225,275
202,253,247,252,248
203,260,240,244,256
204,267,233,251,249
205,256,244,245,255
206,276,224,262,238
207,258,242,243,257
208,255,245,256,244
209,223,277,238,262
210,252,248,245,255
211,255,245,255,245
212,256,244,251,249
213,281,219,254,246
214,266,234,236,264
215,238,262,244,256
216,249,251,232,268
217,256,244,249,251
218,243,257,240,260
219,244,256,255,245
220,258,242,262,238
221,251,249,231,269
222,238,262,258,242
223,249,251,268,232
224,275,225,240,260
225,257,243,249,251
226,238,262,277,223
227,247,253,258,242
228,260,240,246,254
229,249,251,256,244
230,257,243,234,266
231,233,267,242,258
232,256,244,270,230
233,256,244,256,244
234,247,253,253,247
235,256,244,247,253
236,236,264,230,270
237,251,249,249,251
238,259,241,260,240
239,258,242,243,257
240,240,260,241,259
241,250,250,250,250
242,239,261,228,272
243,233,267,237,263
244,250,250,268,232
245,256,244,235,265
246,239,261,252,248
247,249,251,244,256
248,255,245,234,266
249,243,257,258,242
250,254,246,262,238
251,243,257,243,257
252,259,241,267,233
253,223,277,230,270
254,248,252,226,274
255,251,249,253,247
256,256,244,243,257
257,240,260,244,256
258,253,247,248,252
259,245,255,247,253
260,250,250,258,242
261,261,239,257,243
262,251,249,254,246
263,240,260,254,246
264,243,257,223,277
265,246,254,248,252
266,235,265,253,247
267,254,246,257,243
268,260,240,242,258
269,252,248,249,251
270,249,251,235,265
271,254,246,241,259
272,252,248,265,235
273,256,244,230,270
274,238,262,219,281
275,250,250,264,236
276,228,272,257,243
277,258,242,254,246
278,264,236,263,237
279,252,248,266,234
280,259,241,257,243
281,240,260,263,237
282,258,242,255,245
283,242,258,262,238
284,251,249,250,250
285,258,242,260,240
286,235,265,226,274
287,250,250,269,231
288,241,259,236,264
289,259,241,247,253
290,247,253,224,276
291,242,258,244,256
292,265,235,240,260
293,236,264,252,248
294,235,265,243,257
295,239,261,250,250
296,256,244,256,244
297,259,241,231,269
298,241,259,245,255
299,257,243,249,251
300,243,257,247,253